Customer_ID,Future_Purchase,Age_Group,Annual_Income_Group,Total_Purchases_Group,Average_Purchase_Value_Group,Website_Visits_Last_Month_Group,Marketing_Emails_Opened_Group,Hours_Spent_on_Support_Calls_Group
767,1,4,2,3,2,3,3,1
768,1,6,3,2,3,2,2,1
769,1,3,3,3,2,3,1,1
770,1,6,4,3,2,2,4,1
771,1,5,4,3,3,3,2,1
772,1,3,2,2,1,2,2,2
773,1,5,2,2,3,3,4,1
774,0,5,2,2,1,2,3,1
775,1,5,3,2,2,1,2,1
776,0,2,3,2,3,3,4,1
777,1,3,4,3,2,3,,1
778,1,4,3,3,2,2,2,1
779,1,4,3,2,3,2,4,1
780,1,5,3,2,2,2,3,1
781,1,4,2,3,3,2,3,1
782,1,3,5,2,3,1,4,1
783,0,4,2,2,3,3,4,1
784,1,5,3,2,2,4,2,2
785,1,5,5,3,2,1,2,1
786,1,5,3,2,4,2,2,1
787,0,5,3,2,2,1,3,1
788,0,4,3,2,4,2,1,1
789,1,4,3,2,3,2,3,1
790,0,2,4,2,3,3,2,1
791,1,4,1,2,3,1,3,1
792,1,4,4,3,2,1,1,1
793,1,4,2,2,2,2,4,1
794,0,3,3,2,2,3,2,1
795,0,3,3,1,2,2,2,1
796,0,5,3,2,2,4,4,1
797,1,4,2,2,2,3,3,1
798,0,5,3,2,3,2,2,1
799,1,4,5,2,2,3,2,1
800,1,4,2,2,3,1,3,1
801,1,5,3,2,1,2,3,1
802,1,3,3,2,3,4,3,1
803,1,4,3,1,2,2,3,1
804,1,4,3,3,3,3,2,1
805,0,4,3,3,2,3,3,1
806,1,4,3,2,1,2,3,2
807,1,4,4,2,2,3,4,1
808,0,4,3,2,3,4,1,1
809,1,5,4,3,2,4,3,2
810,1,3,2,3,3,4,1,1
811,1,4,2,1,2,2,3,1
812,1,4,3,1,2,4,4,1
813,1,5,4,2,2,3,2,1
814,1,4,3,1,2,2,4,1
815,0,5,3,3,2,4,3,1
816,1,3,3,2,4,2,4,1
817,1,4,2,2,3,3,3,1
818,1,5,3,3,3,2,2,2
819,1,4,4,2,3,2,2,1
820,1,5,3,3,3,4,3,1
821,0,3,3,1,3,5,2,1
822,0,5,3,2,3,1,3,1
823,1,6,3,2,3,3,3,1
824,0,4,3,4,1,3,4,1
825,1,4,5,2,2,2,3,1
826,1,5,3,2,2,3,3,1
827,1,6,3,3,2,2,4,3
828,1,3,3,3,2,2,4,1
829,0,4,4,2,3,2,2,1
830,1,4,3,2,3,2,3,1
831,1,3,3,2,3,2,2,1
832,0,3,4,3,3,2,3,1
833,0,3,4,3,3,3,2,1
834,0,3,3,3,2,5,3,1
835,1,4,2,2,3,4,3,1
836,1,4,4,3,2,2,3,1
837,1,6,2,2,2,3,4,1
838,1,3,4,3,2,2,2,2
839,0,5,2,2,3,3,3,1
840,0,4,4,2,3,1,3,1
841,0,4,2,2,2,2,2,2
842,1,5,4,2,3,5,3,1
843,0,3,3,1,3,2,2,1
844,0,4,2,2,2,2,4,1
845,1,4,3,3,3,1,2,1
846,1,4,4,2,1,3,2,1
847,0,4,3,3,1,1,3,1
848,1,6,3,3,2,2,2,1
849,0,3,4,1,3,3,2,1
850,1,3,2,3,3,3,3,1
851,0,3,4,2,2,3,2,1
852,0,3,3,2,2,3,3,1
853,1,3,2,3,3,1,3,1
854,0,5,2,3,2,3,3,1
855,1,5,3,2,2,3,3,1
856,1,3,4,1,2,2,2,1
857,1,3,3,3,3,2,2,1
858,1,4,4,2,3,2,3,1
859,0,3,2,2,3,5,4,1
860,0,5,3,3,3,2,2,1
861,1,4,2,3,3,4,3,1
862,1,2,3,2,3,2,3,2
863,1,6,4,3,2,2,3,2
864,1,6,3,2,2,1,3,2
865,0,3,1,1,2,3,1,2
866,1,4,3,2,2,2,3,1
867,1,4,3,2,3,2,2,1
868,1,4,3,2,3,3,3,1
869,1,5,4,2,4,3,3,1
870,0,6,2,2,3,3,3,1
871,1,4,4,1,2,2,2,1
872,1,3,4,1,2,2,4,1
873,0,3,2,2,3,2,4,1
874,0,3,3,2,3,3,3,1
875,0,4,3,2,3,3,3,1
876,0,6,3,3,2,2,2,2
877,0,3,3,2,2,3,4,1
878,1,4,3,4,2,4,3,2
879,1,4,2,3,2,2,4,1
880,1,5,3,1,2,2,2,1
881,0,7,2,2,3,2,2,1
882,1,3,2,2,3,2,4,1
883,1,4,4,3,3,2,3,1
884,1,5,2,3,1,4,2,1
885,0,5,3,2,2,2,2,1
886,1,6,3,2,3,3,3,2
887,1,5,2,2,3,3,1,1
888,1,4,2,2,3,3,3,1
889,0,5,4,2,3,2,3,1
890,1,5,2,3,2,4,3,1
891,1,5,3,2,2,4,2,1
892,1,5,3,3,2,2,4,1
893,1,5,4,3,1,3,2,1
894,1,5,3,2,3,4,3,1
895,1,5,3,2,2,4,2,1
896,1,5,4,2,2,2,3,1
897,0,4,4,2,2,4,,1
898,1,4,4,3,2,3,3,1
899,1,5,3,2,2,5,3,1
900,0,3,2,2,3,2,3,1
901,0,4,2,3,3,4,4,1
902,1,4,3,2,2,4,4,1
903,1,4,3,5,2,3,4,1
904,0,5,4,1,3,2,3,1
905,0,4,3,3,2,2,,1
906,1,4,2,1,3,4,2,1
907,1,3,4,3,3,2,2,2
908,1,5,2,1,3,3,2,1
909,1,5,3,2,3,4,2,1
910,1,6,3,2,2,2,3,1
911,1,4,4,2,2,3,4,1
912,1,4,5,2,2,2,3,1
913,1,4,3,2,3,3,3,1
914,1,6,3,2,4,4,3,1
915,1,4,3,4,2,1,3,1
916,1,4,4,2,3,3,3,1
917,1,5,3,2,3,2,4,1
918,0,4,4,3,2,2,3,1
919,1,4,3,3,3,2,3,1
920,0,4,3,2,2,2,3,2
921,1,5,3,3,3,1,4,1
922,1,3,3,2,3,3,2,1
923,1,4,4,1,3,3,3,1
924,0,3,3,3,3,1,3,5
925,1,5,3,3,3,4,3,1
926,1,2,2,1,2,4,4,1
927,1,3,3,2,2,3,2,1
928,0,4,4,3,2,3,2,1
929,0,6,3,4,2,3,4,1
930,1,4,4,2,2,4,3,1
931,1,3,3,2,3,2,3,1
932,1,6,4,4,2,2,2,1
933,1,3,2,2,3,4,2,2
934,1,2,3,2,3,2,3,2
935,0,4,4,2,2,1,2,1
936,0,3,4,3,4,2,4,1
937,1,3,3,3,3,2,3,1
938,1,5,3,3,2,2,2,2
939,1,4,2,3,2,2,3,1
940,1,3,3,2,2,4,3,1
941,1,3,4,2,2,4,2,1
942,1,5,3,3,1,3,2,1
943,1,5,3,1,3,3,3,1
944,1,4,3,3,1,1,3,1
945,0,6,3,2,3,3,3,1
946,1,3,3,2,2,2,3,1
947,1,2,4,2,2,2,3,1
948,1,3,3,1,2,4,3,2
949,1,4,3,2,4,3,3,1
950,0,4,3,2,2,2,3,1
951,0,4,1,2,3,3,2,2
952,1,4,4,1,3,2,4,1
953,0,3,3,2,1,4,3,1
954,1,5,2,2,2,3,3,1
955,0,4,4,1,3,4,3,1
956,1,5,3,3,2,3,2,1
957,1,4,4,2,3,2,3,1
958,1,4,3,4,2,4,2,1
959,0,5,4,3,2,2,3,1
960,1,4,2,2,3,2,3,1
961,0,5,4,3,3,2,4,1
962,1,5,3,2,2,4,3,1
963,0,4,3,2,2,2,3,3
964,1,5,3,1,3,2,2,1
965,0,4,2,2,3,4,4,1
966,1,5,3,2,3,2,4,1
967,1,3,2,2,2,3,3,1
968,0,6,2,2,3,2,2,1
969,0,4,2,2,3,3,3,1
970,1,3,4,3,2,2,2,1
971,1,4,3,2,2,4,3,1
972,1,3,4,2,2,2,2,1
973,1,5,3,2,2,3,3,1
974,1,3,2,2,2,2,3,1
975,1,4,2,3,3,2,3,1
976,1,2,4,2,2,3,3,1
977,0,4,3,3,3,2,4,1
978,0,2,3,2,3,2,2,1
979,1,2,3,2,2,3,3,1
980,1,5,3,2,2,2,2,2
981,1,5,4,2,3,3,1,1
982,1,4,4,2,3,3,2,1
983,1,3,3,2,3,3,3,1
984,1,4,2,2,3,3,3,2
985,1,4,3,3,3,3,4,1
986,1,3,3,3,1,3,3,1
987,0,6,2,1,3,2,1,1
988,0,5,2,2,2,3,3,1
989,1,4,3,2,4,2,2,1
990,1,4,3,3,3,2,3,1
991,0,4,3,2,2,3,2,1
992,1,2,2,2,3,4,2,2
993,0,4,3,,3,2,3,1
994,0,3,2,2,2,4,4,1
995,0,3,4,2,3,3,2,2
996,1,4,4,2,2,4,4,1
997,1,6,2,2,3,3,2,1
998,0,5,2,3,2,2,3,1
999,1,3,2,3,3,4,3,1
1000,1,5,3,3,3,2,2,1
