,Customer_ID,Gender,Product_Category_Most_Purchased,Churn,Future_Purchase,Age_Group,Annual_Income_Group,Total_Purchases_Group,Average_Purchase_Value_Group,Website_Visits_Last_Month_Group,Marketing_Emails_Opened_Group,Hours_Spent_on_Support_Calls_Group
295,296,Female,Electronics,No,Yes,21-30,40000-60000,3-5,65-100,6-9,3-4,2-4
296,297,Male,Home,No,Yes,41-50,40000-60000,3-5,65-100,14-17,5-6,0-2
297,298,Male,Electronics,Yes,Yes,31-40,40000-60000,6-8,100-135,14-17,3-4,0-2
298,299,Female,Home,No,Yes,41-50,60000-80000,3-5,100-135,2-5,3-4,0-2
299,300,Male,Health,Yes,Yes,41-50,20000-40000,6-8,100-135,14-17,7-9,0-2
300,301,Female,Home,No,Yes,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
301,302,Male,Health,No,Yes,21-30,60000-80000,3-5,65-100,14-17,7-9,0-2
302,303,Male,Electronics,No,Yes,41-50,20000-40000,3-5,65-100,18-21,5-6,0-2
303,304,Male,Home,No,No,41-50,20000-40000,6-8,65-100,14-17,5-6,0-2
304,305,Female,Clothing,Yes,Yes,31-40,40000-60000,6-8,100-135,6-9,5-6,0-2
305,306,Male,Clothing,No,No,31-40,40000-60000,3-5,100-135,6-9,3-4,0-2
306,307,Female,Books,No,Yes,41-50,40000-60000,0-2,65-100,14-17,3-4,0-2
307,308,Female,Clothing,No,No,21-30,40000-60000,6-8,100-135,6-9,5-6,0-2
308,309,Female,Health,No,Yes,41-50,40000-60000,3-5,65-100,6-9,5-6,0-2
309,310,Female,Clothing,Yes,No,31-40,60000-80000,0-2,100-135,10-13,5-6,0-2
310,311,Male,Clothing,No,No,31-40,40000-60000,3-5,100-135,14-17,7-9,0-2
311,312,Female,Clothing,No,Yes,41-50,40000-60000,0-2,65-100,6-9,5-6,0-2
312,313,Female,Home,No,Yes,41-50,60000-80000,3-5,135-170,14-17,5-6,0-2
313,314,Male,Books,No,No,41-50,60000-80000,3-5,65-100,6-9,5-6,0-2
314,315,Female,Electronics,No,No,41-50,40000-60000,6-8,100-135,2-5,7-9,0-2
315,316,Male,Books,No,No,31-40,20000-40000,3-5,100-135,6-9,7-9,0-2
316,317,Female,Health,No,No,41-50,60000-80000,3-5,100-135,6-9,7-9,0-2
317,318,Male,Home,No,Yes,31-40,40000-60000,6-8,100-135,2-5,3-4,4-6
318,319,Female,Home,Yes,Yes,31-40,4500-20000,9-11,100-135,10-13,5-6,0-2
319,320,Male,Clothing,No,Yes,31-40,60000-80000,6-8,65-100,6-9,3-4,2-4
320,321,Female,Clothing,No,No,31-40,40000-60000,6-8,100-135,6-9,3-4,0-2
321,322,Female,Health,Yes,Yes,41-50,40000-60000,6-8,100-135,6-9,7-9,0-2
322,323,Male,Home,No,Yes,21-30,40000-60000,9-11,100-135,10-13,1-2,0-2
323,324,Male,Electronics,Yes,No,51-60,40000-60000,0-2,65-100,10-13,7-9,0-2
324,325,Male,Books,Yes,No,21-30,60000-80000,3-5,100-135,6-9,3-4,0-2
325,326,Male,Home,No,Yes,21-30,40000-60000,9-11,135-170,14-17,5-6,0-2
326,327,Female,Electronics,No,Yes,41-50,40000-60000,3-5,65-100,6-9,3-4,0-2
327,328,Female,Electronics,No,Yes,41-50,40000-60000,6-8,100-135,10-13,3-4,0-2
328,329,Male,Books,No,Yes,41-50,60000-80000,3-5,65-100,6-9,3-4,0-2
329,330,Female,Electronics,No,No,41-50,40000-60000,3-5,65-100,6-9,5-6,0-2
330,331,Male,Health,No,Yes,31-40,20000-40000,9-11,135-170,6-9,3-4,2-4
331,332,Male,Electronics,No,No,21-30,60000-80000,0-2,100-135,10-13,5-6,0-2
332,333,Female,Health,No,No,31-40,40000-60000,3-5,100-135,6-9,1-2,0-2
333,334,Female,Electronics,No,Yes,21-30,60000-80000,9-11,100-135,14-17,3-4,0-2
334,335,Female,Clothing,Yes,Yes,41-50,40000-60000,3-5,100-135,6-9,3-4,0-2
335,336,Female,Electronics,No,Yes,31-40,60000-80000,3-5,100-135,6-9,5-6,0-2
336,337,Female,Health,No,Yes,21-30,40000-60000,6-8,100-135,18-21,5-6,2-4
337,338,Female,Electronics,Yes,Yes,31-40,40000-60000,3-5,65-100,14-17,7-9,0-2
338,339,Female,Electronics,No,No,31-40,40000-60000,6-8,100-135,6-9,3-4,2-4
339,340,Male,Electronics,No,Yes,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
340,341,Male,Health,No,No,21-30,60000-80000,3-5,100-135,2-5,5-6,0-2
341,342,Male,Electronics,No,Yes,31-40,20000-40000,3-5,65-100,14-17,3-4,0-2
342,343,Male,Books,No,Yes,31-40,20000-40000,0-2,100-135,6-9,5-6,0-2
343,344,Male,Books,No,No,21-30,20000-40000,0-2,30-65,10-13,5-6,2-4
344,345,Female,Health,No,Yes,31-40,60000-80000,3-5,65-100,14-17,3-4,0-2
345,346,Male,Clothing,No,Yes,31-40,60000-80000,3-5,65-100,14-17,1-2,0-2
346,347,Male,Books,Yes,Yes,21-30,40000-60000,6-8,100-135,6-9,3-4,0-2
347,348,Male,Home,No,Yes,21-30,40000-60000,6-8,100-135,2-5,5-6,0-2
348,349,Male,Books,Yes,No,21-30,40000-60000,6-8,65-100,10-13,3-4,0-2
349,350,Male,Home,No,Yes,31-40,60000-80000,0-2,100-135,18-21,3-4,0-2
350,351,Male,Health,No,Yes,31-40,20000-40000,6-8,65-100,6-9,3-4,0-2
351,352,Male,Clothing,Yes,Yes,41-50,40000-60000,6-8,30-65,2-5,3-4,0-2
352,353,Female,Home,No,No,41-50,60000-80000,6-8,100-135,14-17,3-4,0-2
353,354,Female,Home,No,Yes,31-40,40000-60000,3-5,30-65,14-17,7-9,0-2
354,355,Male,Books,No,Yes,31-40,40000-60000,3-5,65-100,14-17,1-2,0-2
355,356,Female,Home,No,Yes,21-30,60000-80000,3-5,65-100,14-17,5-6,2-4
356,357,Female,Health,No,Yes,31-40,4500-20000,0-2,65-100,10-13,5-6,0-2
357,358,Female,Health,No,Yes,31-40,60000-80000,6-8,65-100,14-17,5-6,0-2
358,359,Female,Health,No,Yes,31-40,40000-60000,6-8,65-100,2-5,5-6,2-4
359,360,Male,Books,No,Yes,21-30,20000-40000,6-8,100-135,2-5,3-4,0-2
360,361,Female,Clothing,No,Yes,41-50,40000-60000,6-8,65-100,10-13,7-9,0-2
361,362,Female,Books,No,Yes,51-60,60000-80000,6-8,100-135,6-9,5-6,0-2
362,363,Female,Health,Yes,No,31-40,40000-60000,6-8,100-135,6-9,5-6,0-2
363,364,Male,Books,No,No,31-40,60000-80000,3-5,100-135,10-13,5-6,0-2
364,365,Male,Health,No,Yes,41-50,60000-80000,3-5,65-100,10-13,7-9,0-2
365,366,Male,Electronics,No,Yes,31-40,60000-80000,6-8,65-100,14-17,5-6,0-2
366,367,Male,Electronics,No,Yes,31-40,60000-80000,3-5,100-135,6-9,7-9,0-2
367,368,Male,Home,No,No,31-40,60000-80000,9-11,65-100,6-9,5-6,0-2
368,369,Male,Clothing,No,Yes,31-40,40000-60000,3-5,100-135,6-9,5-6,0-2
369,370,Male,Electronics,No,No,21-30,20000-40000,6-8,65-100,2-5,5-6,0-2
370,371,Female,Health,No,Yes,31-40,40000-60000,6-8,100-135,6-9,7-9,0-2
371,372,Female,Books,No,Yes,31-40,20000-40000,3-5,100-135,6-9,7-9,0-2
372,373,Female,Books,No,No,41-50,80000- 100000,6-8,135-170,10-13,3-4,0-2
373,374,Male,Home,No,No,41-50,40000-60000,3-5,100-135,6-9,5-6,0-2
374,375,Male,Books,No,No,51-60,40000-60000,3-5,100-135,14-17,3-4,2-4
375,376,Male,Electronics,No,Yes,21-30,40000-60000,0-2,65-100,6-9,5-6,2-4
376,377,Male,Books,No,Yes,41-50,40000-60000,3-5,65-100,6-9,3-4,0-2
377,378,Male,Electronics,Yes,Yes,31-40,60000-80000,0-2,100-135,6-9,3-4,0-2
378,379,Female,Electronics,Yes,Yes,51-60,40000-60000,6-8,65-100,18-21,7-9,0-2
379,380,Female,Clothing,Yes,Yes,21-30,40000-60000,6-8,100-135,14-17,3-4,2-4
380,381,Male,Home,No,Yes,21-30,20000-40000,3-5,100-135,10-13,5-6,0-2
381,382,Male,Health,No,Yes,21-30,20000-40000,3-5,100-135,14-17,5-6,0-2
382,383,Male,Electronics,No,Yes,11-20,40000-60000,3-5,100-135,10-13,3-4,0-2
383,384,Male,Home,No,No,21-30,40000-60000,6-8,65-100,6-9,3-4,0-2
384,385,Female,Health,No,No,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
385,386,Male,Books,No,Yes,31-40,20000-40000,0-2,65-100,10-13,3-4,0-2
386,387,Male,Home,No,Yes,31-40,20000-40000,6-8,100-135,10-13,5-6,0-2
387,388,Male,Home,No,Yes,51-60,40000-60000,9-11,65-100,6-9,7-9,0-2
388,389,Male,Home,Yes,No,41-50,20000-40000,3-5,65-100,14-17,3-4,0-2
389,390,Female,Books,No,Yes,21-30,60000-80000,6-8,100-135,6-9,3-4,0-2
390,391,Male,Books,No,No,21-30,40000-60000,3-5,65-100,14-17,5-6,0-2
391,392,Male,Home,No,No,31-40,20000-40000,6-8,65-100,10-13,5-6,0-2
392,393,Female,Clothing,Yes,Yes,21-30,40000-60000,3-5,65-100,14-17,3-4,0-2
393,394,Female,Electronics,No,Yes,51-60,20000-40000,6-8,30-65,6-9,1-2,0-2
394,395,Female,Books,Yes,No,41-50,40000-60000,6-8,65-100,6-9,5-6,0-2
395,396,Male,Clothing,No,Yes,31-40,60000-80000,0-2,100-135,10-13,7-9,0-2
396,397,Male,Books,No,Yes,11-20,20000-40000,3-5,65-100,2-5,5-6,0-2
397,398,Female,Home,No,No,41-50,40000-60000,9-11,30-65,14-17,5-6,0-2
398,399,Female,Clothing,No,Yes,31-40,40000-60000,3-5,65-100,6-9,7-9,0-2
399,400,Female,Health,Yes,No,41-50,60000-80000,3-5,100-135,18-21,5-6,0-2
400,401,Female,Electronics,Yes,No,11-20,40000-60000,3-5,100-135,14-17,5-6,0-2
401,402,Female,Electronics,No,No,21-30,20000-40000,3-5,65-100,10-13,5-6,0-2
402,403,Female,Books,No,Yes,31-40,40000-60000,3-5,65-100,6-9,7-9,0-2
403,404,Male,Electronics,No,Yes,31-40,20000-40000,6-8,65-100,2-5,5-6,0-2
404,405,Male,Health,Yes,Yes,31-40,60000-80000,6-8,100-135,6-9,7-9,0-2
405,406,Male,Clothing,No,No,41-50,40000-60000,3-5,100-135,10-13,5-6,0-2
406,407,Female,Clothing,No,No,21-30,60000-80000,6-8,100-135,14-17,5-6,0-2
407,408,Female,Home,No,Yes,31-40,40000-60000,6-8,65-100,6-9,3-4,0-2
408,409,Female,Clothing,No,Yes,31-40,20000-40000,6-8,100-135,10-13,3-4,0-2
409,410,Female,Books,No,Yes,41-50,20000-40000,3-5,65-100,6-9,5-6,2-4
410,411,Female,Health,No,No,41-50,20000-40000,3-5,100-135,10-13,3-4,2-4
411,412,Female,Home,No,No,21-30,20000-40000,6-8,100-135,10-13,5-6,0-2
412,413,Male,Books,No,No,11-20,40000-60000,6-8,65-100,6-9,3-4,0-2
413,414,Male,Books,No,No,41-50,40000-60000,3-5,30-65,2-5,5-6,0-2
414,415,Female,Books,No,No,31-40,20000-40000,3-5,100-135,6-9,3-4,0-2
415,416,Male,Electronics,No,No,21-30,60000-80000,3-5,100-135,10-13,7-9,0-2
416,417,Female,Books,No,Yes,51-60,40000-60000,6-8,65-100,6-9,5-6,0-2
417,418,Male,Electronics,No,Yes,31-40,40000-60000,0-2,100-135,14-17,3-4,2-4
418,419,Female,Clothing,Yes,No,41-50,60000-80000,3-5,100-135,6-9,5-6,0-2
419,420,Female,Electronics,No,Yes,31-40,60000-80000,6-8,65-100,14-17,3-4,0-2
420,421,Male,Books,Yes,Yes,51-60,40000-60000,3-5,100-135,10-13,3-4,0-2
421,422,Male,Health,Yes,Yes,51-60,20000-40000,9-11,30-65,10-13,3-4,0-2
422,423,Female,Health,No,Yes,31-40,4500-20000,3-5,65-100,2-5,3-4,2-4
423,424,Female,Clothing,No,Yes,41-50,20000-40000,3-5,65-100,14-17,7-9,0-2
424,425,Male,Books,No,Yes,41-50,40000-60000,3-5,100-135,6-9,1-2,0-2
425,426,Male,Electronics,No,Yes,41-50,20000-40000,6-8,65-100,10-13,5-6,0-2
426,427,Female,Health,No,Yes,21-30,40000-60000,3-5,65-100,10-13,3-4,0-2
427,428,Male,Home,No,Yes,41-50,40000-60000,6-8,30-65,6-9,5-6,0-2
428,429,Female,Books,No,No,41-50,40000-60000,6-8,100-135,10-13,3-4,0-2
429,430,Female,Books,No,Yes,11-20,40000-60000,3-5,65-100,6-9,5-6,0-2
430,431,Female,Home,No,Yes,21-30,40000-60000,3-5,100-135,6-9,5-6,0-2
431,432,Female,Health,Yes,Yes,11-20,40000-60000,3-5,65-100,10-13,5-6,0-2
432,433,Male,Home,No,Yes,31-40,20000-40000,3-5,100-135,14-17,3-4,0-2
433,434,Male,Clothing,Yes,Yes,41-50,60000-80000,3-5,100-135,14-17,5-6,0-2
434,435,Male,Electronics,No,No,51-60,40000-60000,0-2,65-100,10-13,3-4,0-2
435,436,Male,Electronics,No,No,31-40,40000-60000,6-8,100-135,6-9,1-2,0-2
436,437,Male,Health,Yes,Yes,51-60,60000-80000,6-8,65-100,6-9,5-6,4-6
437,438,Male,Home,Yes,Yes,21-30,40000-60000,6-8,65-100,10-13,5-6,2-4
438,439,Male,Books,No,Yes,11-20,60000-80000,3-5,65-100,6-9,5-6,0-2
439,440,Female,Books,No,No,31-40,40000-60000,3-5,100-135,2-5,5-6,0-2
440,441,Male,Books,No,No,31-40,40000-60000,3-5,100-135,10-13,3-4,0-2
441,442,Male,Clothing,No,Yes,31-40,40000-60000,3-5,65-100,10-13,3-4,0-2
442,443,Female,Clothing,No,Yes,11-20,20000-40000,6-8,65-100,2-5,3-4,0-2
443,444,Male,Books,Yes,No,31-40,40000-60000,3-5,100-135,6-9,5-6,0-2
444,445,Male,Health,No,No,21-30,40000-60000,6-8,100-135,,5-6,0-2
445,446,Female,Clothing,No,Yes,41-50,40000-60000,3-5,100-135,6-9,3-4,0-2
446,447,Male,Clothing,No,No,31-40,40000-60000,0-2,65-100,14-17,5-6,2-4
447,448,Male,Electronics,Yes,Yes,21-30,20000-40000,3-5,65-100,14-17,5-6,0-2
448,449,Male,Electronics,Yes,Yes,21-30,40000-60000,3-5,100-135,2-5,5-6,0-2
449,450,Female,Health,No,No,21-30,40000-60000,6-8,135-170,2-5,5-6,0-2
450,451,Male,Clothing,No,Yes,31-40,40000-60000,9-11,65-100,10-13,5-6,6-8
451,452,Male,Clothing,No,No,41-50,20000-40000,6-8,65-100,10-13,5-6,0-2
452,453,Female,Home,No,Yes,21-30,60000-80000,6-8,100-135,10-13,3-4,0-2
453,454,Male,Health,No,Yes,41-50,20000-40000,3-5,100-135,6-9,3-4,2-4
454,455,Female,Health,Yes,Yes,21-30,60000-80000,3-5,65-100,6-9,3-4,0-2
455,456,Female,Home,Yes,Yes,21-30,40000-60000,3-5,100-135,6-9,5-6,0-2
456,457,Male,Home,No,Yes,31-40,40000-60000,0-2,100-135,10-13,7-9,0-2
457,458,Female,Electronics,No,No,21-30,60000-80000,6-8,65-100,6-9,5-6,2-4
458,459,Female,Health,No,Yes,21-30,20000-40000,6-8,65-100,10-13,3-4,0-2
459,460,Male,Health,No,No,21-30,60000-80000,3-5,100-135,6-9,5-6,0-2
460,461,Female,Home,No,Yes,51-60,60000-80000,6-8,65-100,6-9,7-9,0-2
461,462,Female,Books,No,No,31-40,20000-40000,0-2,100-135,6-9,7-9,0-2
462,463,Male,Books,No,Yes,21-30,60000-80000,6-8,135-170,10-13,5-6,0-2
463,464,Male,Electronics,No,Yes,31-40,40000-60000,3-5,65-100,14-17,7-9,0-2
464,465,Male,Books,No,Yes,31-40,40000-60000,9-11,65-100,10-13,1-2,0-2
465,466,Female,Books,No,Yes,31-40,40000-60000,3-5,100-135,6-9,3-4,0-2
466,467,Male,Books,No,Yes,41-50,40000-60000,0-2,65-100,10-13,3-4,0-2
467,468,Female,Clothing,No,Yes,41-50,60000-80000,3-5,65-100,6-9,5-6,0-2
468,469,Female,Electronics,No,No,21-30,60000-80000,6-8,30-65,18-21,3-4,0-2
469,470,Female,Home,No,No,21-30,20000-40000,0-2,65-100,10-13,5-6,0-2
470,471,Female,Books,No,No,31-40,60000-80000,0-2,65-100,10-13,5-6,0-2
471,472,Female,Clothing,No,Yes,11-20,20000-40000,6-8,65-100,6-9,3-4,0-2
472,473,Female,Books,Yes,No,11-20,60000-80000,6-8,100-135,6-9,7-9,0-2
473,474,Female,Clothing,No,No,41-50,60000-80000,6-8,100-135,6-9,3-4,0-2
474,475,Male,Electronics,No,Yes,51-60,20000-40000,6-8,135-170,18-21,3-4,0-2
475,476,Male,Books,No,Yes,31-40,40000-60000,6-8,100-135,18-21,5-6,0-2
476,477,Female,Clothing,No,Yes,41-50,20000-40000,3-5,100-135,10-13,1-2,0-2
477,478,Female,Health,Yes,Yes,31-40,40000-60000,6-8,100-135,6-9,5-6,0-2
478,479,Male,Health,Yes,Yes,61-73,40000-60000,6-8,100-135,18-21,5-6,0-2
479,480,Female,Clothing,Yes,Yes,41-50,60000-80000,6-8,65-100,2-5,7-9,2-4
480,481,Male,Books,No,No,31-40,60000-80000,6-8,30-65,10-13,7-9,0-2
481,482,Male,Books,No,Yes,21-30,60000-80000,3-5,100-135,6-9,3-4,0-2
482,483,Male,Electronics,No,Yes,11-20,40000-60000,3-5,100-135,6-9,5-6,0-2
483,484,Female,Electronics,No,No,31-40,40000-60000,0-2,65-100,10-13,3-4,0-2
484,485,Female,Home,No,No,21-30,20000-40000,3-5,65-100,14-17,3-4,0-2
485,486,Male,Electronics,Yes,No,21-30,20000-40000,3-5,100-135,14-17,3-4,0-2
486,487,Male,Books,Yes,Yes,21-30,60000-80000,9-11,65-100,6-9,3-4,0-2
487,488,Male,Home,No,Yes,21-30,60000-80000,6-8,100-135,14-17,7-9,0-2
488,489,Male,Electronics,No,Yes,51-60,20000-40000,3-5,65-100,6-9,3-4,0-2
489,490,Male,Clothing,No,Yes,41-50,40000-60000,0-2,65-100,6-9,5-6,0-2
490,491,Female,Health,No,Yes,31-40,40000-60000,3-5,100-135,14-17,5-6,0-2
491,492,Male,Electronics,No,Yes,41-50,40000-60000,0-2,65-100,10-13,5-6,0-2
492,493,Female,Electronics,Yes,No,31-40,20000-40000,3-5,65-100,6-9,7-9,0-2
493,494,Male,Clothing,No,Yes,21-30,40000-60000,3-5,65-100,6-9,3-4,0-2
494,495,Female,Books,No,Yes,51-60,40000-60000,3-5,65-100,14-17,5-6,0-2
495,496,Female,Clothing,No,Yes,41-50,40000-60000,6-8,100-135,6-9,5-6,2-4
496,497,Female,Electronics,No,No,21-30,40000-60000,6-8,65-100,6-9,3-4,0-2
497,498,Female,Books,Yes,Yes,31-40,40000-60000,3-5,100-135,10-13,5-6,0-2
498,499,Female,Home,No,Yes,21-30,40000-60000,3-5,65-100,10-13,5-6,0-2
499,500,Female,Electronics,Yes,Yes,21-30,40000-60000,6-8,65-100,14-17,3-4,0-2
500,501,Male,Clothing,No,Yes,41-50,40000-60000,3-5,100-135,10-13,3-4,0-2
501,502,Female,Home,No,Yes,51-60,40000-60000,6-8,100-135,10-13,3-4,0-2
502,503,Male,Health,No,Yes,21-30,40000-60000,6-8,100-135,6-9,5-6,2-4
503,504,Female,Home,No,Yes,41-50,60000-80000,3-5,65-100,6-9,5-6,0-2
504,505,Female,Clothing,No,No,21-30,40000-60000,3-5,65-100,14-17,5-6,0-2
505,506,Male,Home,No,Yes,31-40,40000-60000,0-2,65-100,6-9,5-6,0-2
506,507,Female,Clothing,No,No,21-30,60000-80000,6-8,65-100,6-9,7-9,0-2
507,508,Male,Electronics,No,Yes,21-30,40000-60000,3-5,30-65,6-9,5-6,0-2
508,509,Male,Books,Yes,Yes,31-40,60000-80000,6-8,65-100,10-13,5-6,0-2
509,510,Male,Health,Yes,Yes,21-30,40000-60000,6-8,65-100,2-5,5-6,0-2
510,511,Male,Books,No,Yes,31-40,40000-60000,3-5,65-100,14-17,5-6,0-2
511,512,Female,Books,Yes,Yes,31-40,40000-60000,9-11,65-100,18-21,5-6,0-2
512,513,Female,Books,No,Yes,31-40,20000-40000,0-2,65-100,2-5,7-9,0-2
513,514,Male,Clothing,No,No,21-30,20000-40000,0-2,100-135,10-13,7-9,0-2
514,515,Female,Clothing,No,No,21-30,20000-40000,6-8,100-135,6-9,1-2,0-2
515,516,Female,Health,Yes,No,41-50,40000-60000,3-5,65-100,10-13,1-2,2-4
516,517,Male,Clothing,No,Yes,41-50,60000-80000,6-8,100-135,14-17,7-9,0-2
517,518,Female,Clothing,No,Yes,21-30,80000- 100000,3-5,100-135,10-13,3-4,0-2
518,519,Male,Clothing,No,Yes,31-40,40000-60000,3-5,65-100,10-13,7-9,0-2
519,520,Male,Clothing,No,Yes,41-50,40000-60000,0-2,65-100,18-21,5-6,0-2
520,521,Female,Electronics,No,Yes,11-20,20000-40000,3-5,100-135,6-9,3-4,0-2
521,522,Female,Health,No,Yes,41-50,40000-60000,3-5,100-135,6-9,3-4,0-2
522,523,Female,Clothing,No,No,21-30,20000-40000,3-5,100-135,6-9,3-4,0-2
523,524,Male,Health,Yes,Yes,41-50,40000-60000,3-5,65-100,14-17,3-4,0-2
524,525,Male,Home,No,Yes,21-30,40000-60000,3-5,100-135,14-17,5-6,0-2
525,526,Female,Electronics,Yes,Yes,11-20,40000-60000,3-5,100-135,6-9,5-6,2-4
526,527,Female,Clothing,No,Yes,11-20,20000-40000,3-5,100-135,10-13,7-9,2-4
527,528,Female,Electronics,No,No,31-40,60000-80000,6-8,100-135,6-9,5-6,4-6
528,529,Female,Electronics,No,Yes,31-40,20000-40000,3-5,65-100,14-17,5-6,2-4
529,530,Male,Home,No,No,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
530,531,Female,Health,Yes,Yes,41-50,80000- 100000,3-5,65-100,6-9,5-6,0-2
531,532,Male,Electronics,No,Yes,11-20,20000-40000,3-5,65-100,10-13,5-6,0-2
532,533,Male,Books,Yes,No,31-40,4500-20000,3-5,65-100,10-13,1-2,0-2
533,534,Female,Home,No,Yes,21-30,40000-60000,6-8,100-135,6-9,1-2,0-2
534,535,Female,Books,No,Yes,21-30,60000-80000,6-8,100-135,6-9,3-4,2-4
535,536,Female,Home,No,Yes,31-40,60000-80000,6-8,65-100,6-9,3-4,0-2
536,537,Male,Books,No,Yes,21-30,20000-40000,3-5,65-100,2-5,5-6,0-2
537,538,Female,Books,No,No,31-40,40000-60000,6-8,65-100,14-17,3-4,2-4
538,539,Female,Electronics,No,No,41-50,40000-60000,6-8,65-100,6-9,7-9,0-2
539,540,Male,Electronics,No,No,21-30,40000-60000,3-5,100-135,2-5,7-9,0-2
540,541,Female,Home,No,Yes,41-50,80000- 100000,6-8,65-100,6-9,7-9,0-2
541,542,Male,Health,No,Yes,21-30,20000-40000,9-11,100-135,6-9,7-9,0-2
542,543,Female,Electronics,Yes,Yes,41-50,40000-60000,6-8,65-100,10-13,3-4,0-2
543,544,Male,Electronics,No,No,41-50,40000-60000,3-5,65-100,10-13,5-6,0-2
544,545,Female,Clothing,No,No,11-20,60000-80000,6-8,65-100,18-21,3-4,0-2
545,546,Female,Electronics,No,Yes,21-30,40000-60000,6-8,65-100,14-17,5-6,4-6
546,547,Male,Health,No,Yes,41-50,40000-60000,3-5,30-65,10-13,7-9,0-2
547,548,Male,Clothing,No,Yes,31-40,40000-60000,3-5,100-135,6-9,7-9,0-2
548,549,Female,Books,No,Yes,31-40,40000-60000,3-5,65-100,10-13,5-6,2-4
549,550,Male,Books,No,Yes,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
550,551,Male,Clothing,No,Yes,31-40,40000-60000,3-5,100-135,10-13,3-4,0-2
551,552,Male,Clothing,No,Yes,31-40,40000-60000,3-5,100-135,6-9,1-2,0-2
552,553,Male,Clothing,No,No,41-50,40000-60000,3-5,135-170,10-13,5-6,0-2
553,554,Female,Home,No,No,31-40,40000-60000,3-5,100-135,6-9,5-6,0-2
554,555,Female,Health,No,No,31-40,60000-80000,3-5,65-100,10-13,,0-2
555,556,Male,Health,No,Yes,31-40,40000-60000,3-5,65-100,10-13,3-4,0-2
556,557,Male,Books,No,Yes,31-40,20000-40000,6-8,65-100,2-5,7-9,0-2
557,558,Male,Books,No,Yes,31-40,60000-80000,6-8,65-100,6-9,5-6,0-2
558,559,Male,Books,No,Yes,31-40,20000-40000,6-8,100-135,2-5,5-6,0-2
559,560,Female,Electronics,No,Yes,31-40,40000-60000,3-5,65-100,10-13,5-6,0-2
560,561,Female,Books,Yes,No,31-40,40000-60000,6-8,100-135,14-17,7-9,2-4
561,562,Male,Clothing,No,Yes,51-60,60000-80000,3-5,100-135,6-9,3-4,0-2
562,563,Male,Books,No,No,41-50,4500-20000,3-5,100-135,10-13,7-9,0-2
563,564,Male,Clothing,No,No,31-40,80000- 100000,6-8,65-100,10-13,3-4,0-2
564,565,Female,Home,No,No,41-50,60000-80000,0-2,100-135,10-13,3-4,0-2
565,566,Male,Electronics,No,No,31-40,40000-60000,6-8,100-135,6-9,5-6,0-2
566,567,Female,Electronics,No,Yes,11-20,40000-60000,3-5,65-100,14-17,7-9,0-2
567,568,Male,Health,Yes,No,21-30,40000-60000,0-2,65-100,2-5,5-6,0-2
568,569,Female,Home,No,Yes,11-20,40000-60000,3-5,100-135,14-17,7-9,0-2
569,570,Male,Clothing,No,No,31-40,40000-60000,3-5,65-100,6-9,5-6,0-2
570,571,Female,Home,No,Yes,31-40,40000-60000,3-5,65-100,6-9,3-4,0-2
571,572,Male,Electronics,Yes,Yes,51-60,40000-60000,6-8,100-135,10-13,7-9,0-2
572,573,Male,Clothing,No,Yes,31-40,40000-60000,6-8,65-100,14-17,3-4,0-2
573,574,Male,Home,No,Yes,31-40,40000-60000,3-5,100-135,14-17,7-9,0-2
574,575,Female,Electronics,No,Yes,41-50,40000-60000,3-5,65-100,6-9,3-4,0-2
575,576,Male,Clothing,No,Yes,11-20,60000-80000,6-8,65-100,10-13,5-6,0-2
576,577,Female,Clothing,No,No,31-40,40000-60000,3-5,100-135,6-9,5-6,0-2
577,578,Female,Electronics,Yes,Yes,41-50,4500-20000,0-2,100-135,6-9,3-4,0-2
578,579,Male,Clothing,No,Yes,21-30,40000-60000,3-5,100-135,10-13,3-4,0-2
579,580,Male,Electronics,No,Yes,41-50,40000-60000,0-2,65-100,10-13,3-4,0-2
580,581,Male,Books,No,Yes,31-40,40000-60000,9-11,100-135,6-9,3-4,0-2
581,582,Female,Books,No,Yes,31-40,40000-60000,3-5,30-65,6-9,3-4,0-2
582,583,Male,Clothing,No,No,41-50,60000-80000,3-5,100-135,14-17,5-6,0-2
583,584,Female,Clothing,No,Yes,51-60,60000-80000,3-5,100-135,6-9,5-6,0-2
584,585,Female,Electronics,No,Yes,31-40,20000-40000,3-5,30-65,10-13,5-6,2-4
585,586,Male,Clothing,No,Yes,31-40,40000-60000,3-5,65-100,6-9,7-9,2-4
586,587,Male,Health,No,Yes,31-40,20000-40000,6-8,65-100,10-13,5-6,0-2
587,588,Male,Books,No,Yes,21-30,20000-40000,3-5,65-100,6-9,5-6,2-4
588,589,Male,Clothing,No,No,41-50,40000-60000,0-2,30-65,6-9,5-6,0-2
589,590,Male,Clothing,No,Yes,21-30,60000-80000,6-8,65-100,14-17,5-6,0-2
590,591,Male,Home,No,Yes,31-40,60000-80000,3-5,65-100,10-13,5-6,0-2
591,592,Female,Clothing,Yes,Yes,31-40,40000-60000,6-8,100-135,10-13,3-4,0-2
